Nom,Banniere,Adresse,Region,Code_postal,Latitude,Longitude,Prix_regulier,Prix_super,Prix_diesel,rang_region,highlight_carte,is_ghost,date_import
La Société Canadian Tire Ltée,Canadian Tire,"636 boul. Wilfrid-Hamel, Québec",Capitale-Nationale,G1M 3P9,46.816137,-71.251932,175.5,197.5,247.9,1,oui,1,2026-05-21 20:02
9319-6756 QUÉBEC INC.,Shell,"5000 boul. de l'Ormière, Québec",Capitale-Nationale,G1P 1K7,46.818765,-71.331086,181.9,209.9,,2,,1,2026-05-21 20:02
La Société Canadian Tire Ltée,Canadian Tire,"4895 boul. de l'Ormière, Québec",Capitale-Nationale,G1P 1K6,46.817578,-71.331002,181.9,203.9,237.9,2,,1,2026-05-21 20:02
Costco Québec,Costco,"440 rue Bouvier, Québec",Capitale-Nationale,G2J 1E3,46.839565,-71.269263,182.9,202.9,,4,,1,2026-05-21 20:02
Costco Sainte-Foy,Costco,"3233 av. Watt, Québec",Capitale-Nationale,G1X 4W2,46.780325,-71.328438,182.9,202.9,,4,,1,2026-05-21 20:02
Costco Lévis,Costco,"1160 rue De la concorde, Lévis",Chaudière-Appalaches,G6W 0M4,46.730502,-71.263686,182.9,202.9,,1,oui,1,2026-05-21 20:02
Dépanneur Sprint (route 277),Petro-Canada,"1537 rte 277, Lac-Etchemin",Chaudière-Appalaches,G0R 1S0,46.400652,-70.521356,183.2,208.2,229.9,2,,1,2026-05-21 20:02
9069-8150 Québec Inc.,Harnois,"550 rue Principale, Saint-Pamphile",Chaudière-Appalaches,G0R 3X0,46.969205,-69.791213,184.9,209.9,237.9,3,,1,2026-05-21 20:02
9319-6756 QUÉBEC INC.,Shell,"5900 boul. Étienne-Dallaire, Lévis",Chaudière-Appalaches,G6V 8T3,46.793172,-71.16428,184.9,212.9,,3,,1,2026-05-21 20:02
9319-6756 QUÉBEC INC.,Shell,"200 rte du Président-Kennedy, Lévis",Chaudière-Appalaches,G6V 6C3,46.780299,-71.154996,184.9,212.9,239.9,3,,1,2026-05-21 20:02
ghost_north,,,Région de Québec,,47.12,-71.25,,,,,,0,2026-05-21 20:02
ghost_south,,,Région de Québec,,45.0,-71.25,,,,,,0,2026-05-21 20:02
ghost_west,,,Région de Québec,,46.06,-72.9,,,,,,0,2026-05-21 20:02
ghost_east,,,Région de Québec,,46.06,-69.6,,,,,,0,2026-05-21 20:02
